year,team_name,team_id
2011,Ολυμπιακός,683
2011,Παναθηναϊκός,265
2011,ΠΑΟΚ,1091
2011,ΑΕΚ,2441
2011,Άρης,605
2011,Πανιώνιος,169
2011,Ατρόμητος,3060
2011,Skoda Xanthi,128
2011,Παναιτωλικός,6418
2011,Αστέρας Τρίπολης,6676
2011,GS Ergotelis,5220
2011,AO Kerkyra,5219
2011,Λεβαδειακός,2672
2011,ΟΦΗ,653
2011,ΠΑΣ Γιάννινα,2671
2011,Δόξα Δράμας,3706
2011,Ολυμπιακός,683
2011,Παναθηναϊκός,265
2011,ΠΑΟΚ,1091
2011,Ατρόμητος,3060
2011,ΑΕΚ,2441
2011,Αστέρας,6676
2011,Λεβαδειακός,2672
2011,Γιάννινα,2671
2011,Άρης,605
2011,ΟΦΗ,653
2011,Skoda Xanthi,128
2011,Πανιώνιος,169
2011,AO Kerkyra,5219
2011,Ergotelis,5220
2011,Παναιτωλικός,6418
2011,Δόξα Δράμας,3706
